child_id,Age,Language,Phrase,Transcript,Pronounciation_Score,Accent/Noise_info
C001,3,English,Good morning,Gud mornin,80,Slight accent
C002,3,English,I love my cat,I lub my cat,70,Background chatter
C003,5,English,Thank you,Tank you,85,Clear
C004,5,English,Can I play now?,Can I pay now,75,Slight accent
C005,4,English,Please help me,Pwease help me,60,Moderate background noise
C006,3,English,This is my toy car,This is my toy cah,90,Clear
C007,3,English,I want a cookie,I want a cookee,80,Clear
C008,3,English,Where is my ball?,Where is my bawl?,85,Slight accent
C009,5,English,My favorite color is red,My favwite colow is wed,65,Slight accent
C010,3,English,Let?s go outside,Wet?s go outside,70,Mild background noise
C011,5,English,I want to go home,I wan' to go home,75,Slight accent
C012,4,English,Can you help me?,Can you hewp me?,65,Mild background noise
C013,3,English,I like to play with my toys,I wike to pway wif my toys,60,Clear
C014,5,English,It is raining outside,It is waining outside,80,Slight accent
C015,3,English,Look at the big dog!,Wook at the big dog!,70,Background chatter
C016,3,English,The sun is shining,The sun is shinin',85,Clear
C017,5,English,Can I have some water?,Can I haf some water?,75,Moderate background noise
C018,5,English,This is a red apple,Dis is a wed appow,65,Slight accent
C019,5,English,Where are we going?,Whewe awe we going?,80,Clear
C020,5,English,I like to jump and run,I wike to jump an' wun,70,Mild background noise
C021,5,English,The sky is blue,The sky is boo,85,Clear
C022,5,English,My teddy bear is soft,My teddy beaw is soft,75,Background chatter
C023,3,English,I am feeling happy,I am feewing happy,80,Clear
C024,3,English,Time to go to bed,Time to go to bed,90,Clear
C025,3,English,I want to eat some fruit,I want to eat some fwuit,65,Slight accent
C026,3,English,The car is fast,The caw is fast,80,Clear
C027,4,English,I have a big ball,I hab a big bawl,70,Mild background noise
C028,3,English,This book is nice,Dis book is nice,75,Slight accent
C029,5,English,Look at the birds in the sky,Wook at the bird in da sky,65,Moderate background noise
C030,4,English,I want to play with my friends,I wan' to pway wif my fwiends,60,Slight accent
C031,3,English,The flowers are pretty,Da flowers awe pwetty,85,Clear
C032,4,English,I am eating my lunch,I am eawing my wunch,75,Background chatter
C033,5,English,Do you want some ice cream?,Do you want some ice cweam?,70,Clear
C034,3,English,I see a red car,I see a wed caw,80,Slight accent
C035,3,English,My favorite color is blue,My favowite cowow is bwoo,85,Clear
C036,5,English,I like to watch cartoons,I wike to watch ca'oons,65,Mild background noise
C037,3,English,The dog is barking,Da dog is bawking,75,Moderate background noise
C038,4,English,I am playing with my blocks,I am pwaying wif my bwocks,70,Background chatter
C039,3,English,This cake is delicious,Dis cake is dewicious,80,Slight accent
C040,3,English,I love my family,I wuv my famiwy,85,Clear
C041,5,English,I am going to the park,I am going to da pawk,75,Clear
C042,5,English,This is my favorite toy,Dis is my favowite toy,80,Slight accent
C043,3,English,I like to draw pictures,I wike to dwaw pictuwes,70,Background chatter
C044,4,English,Can you pass me the salt?,Can you pass me da sawt?,65,Mild background noise
C045,4,English,The bird is flying high,Da bird is fwying high,80,Clear
C046,3,English,I am wearing my new shoes,I am wearing my new shooz,75,Slight accent
C047,4,English,Look at the pretty rainbow,Wook at da pwetty wainbow,85,Clear
C048,4,English,I want to play outside,I wan' to pway outsid',70,Mild background noise
C049,5,English,The cake is on the table,Da cake is on da tabow,75,Slight accent
C050,5,English,I love playing with my dog,I wuv pwaying wif my dog,65,Background chatter
C051,5,English,I can count to ten,I can count to ten,85,Clear
C052,4,English,This apple is really sweet,Dis appwe is weawwy sweet,80,Clear
C053,5,English,I have a big red ball,I hab a big wed bawl,70,Moderate background noise
C054,3,English,I want to go to the zoo,I wan' to go to da zoo,75,Slight accent
C055,4,English,I am jumping on the trampoline,I am jumpin' on da twampowween,85,Clear
C056,3,English,I like to eat ice cream,I wike to eat ice cweam,70,Mild background noise
C057,4,English,The stars are shining bright,Da staws awe shining bwight,80,Clear
C058,4,English,I have a pet fish,I hab a pet fish,75,Background chatter
C059,3,English,The ball bounced very high,Da bawl bounced vewy high,85,Clear
C060,4,English,I want to go to the beach,I wan' to go to da beach,70,Slight accent
C061,3,English,My bike is fast,My bike is fast,80,Clear
C062,4,English,I am building a sandcastle,I am buiwding a sandcastow,75,Mild background noise
C063,4,English,Can you see the moon?,Can you see da moon?,80,Clear
C064,4,English,The truck is big and loud,Da twuck is big and woud,70,Background chatter
C065,4,English,I like to jump on the bed,I wike to jump on da bed,65,Moderate background noise
C066,3,English,My teddy bear is my favorite,My teddy beaw is my favowite,85,Clear
C067,5,English,I am learning how to swim,I am weawning how to swim,75,Slight accent
C068,5,English,The sun is setting,Da sun is setting,80,Clear
C069,5,English,I want to watch a movie,I wan' to watch a movie,70,Mild background noise
C070,3,English,I like to play with my dolls,I wike to pway wif my dowws,75,Background chatter
C071,5,English,I am going to ride my bike,I am going to wide my bike,75,Clear
C072,3,English,This book is really fun,Dis book is weawwy fun,80,Slight accent
C073,5,English,I love playing in the sandbox,I wuv pwaying in da sandbawk,70,Background chatter
C074,3,English,My mom makes the best cookies,My mom makes da best cookies,75,Slight accent
C075,4,English,Look at the big tree,Wook at da big twee,80,Clear
C076,5,English,I want to jump on the couch,I wan' to jump on da couch,70,Moderate background noise
C077,5,English,The moon is so bright tonight,Da moon is so bwight tonite,80,Clear
C078,4,English,I am drawing a picture of a house,I am dwawing a pictuwe of a house,75,Background chatter
C079,3,English,This is my favorite song,Dis is my favowite song,70,Mild background noise
C080,5,English,I am drinking a glass of water,I am dwinking a gwass of wata,80,Clear
C081,3,English,I like to play with my blocks,I wike to pway wif my bwocks,65,Slight accent
C082,5,English,The dog is running fast,Da dog is wunning fast,75,Background chatter
C083,5,English,I see a butterfly in the garden,I see a buttewfwy in da gawden,80,Clear
C084,5,English,I am putting on my shoes,I am putting on my shooz,70,Mild background noise
C085,4,English,The ice cream is melting,Da ice cweam is melting,85,Clear
C086,4,English,I am eating a sandwich,I am eawing a sandwich,75,Clear
C087,4,English,The birds are singing,Da birds awe singing,80,Clear
C088,4,English,I like to ride my scooter,I wike to wide my scootew,70,Background chatter
C089,3,English,This is a big cake,Dis is a big cake,85,Clear
C090,4,English,I want to build a tower,I wan' to buiwd a towew,75,Slight accent
C091,4,English,I see a rainbow after the rain,I see a wainbow afta da wain,80,Clear
C092,3,English,The frog is jumping in the pond,Da fwog is jumping in da pond,70,Moderate background noise
C093,4,English,I am playing with my car,I am pwaying wif my caw,75,Slight accent
C094,3,English,I want to go to the zoo tomorrow,I wan' to go to da zoo tomowwow,80,Clear
C095,4,English,I like to make pancakes,I wike to make pan'cakes,70,Background chatter
C096,4,English,The ice is cold,Da ice is cowd,85,Clear
C097,4,English,My shoes are new,My shooz awe new,75,Slight accent
C098,5,English,I am playing with my ball,I am pwaying wif my bawl,65,Background chatter
C099,4,English,I want to ride the roller coaster,I wan' to wide da wower coastow,80,Clear
C100,3,English,The flowers are colorful,Da flowews awe cowowful,75,Slight accent
C101,4,English,Good morning,Gud mornin,80,Slight accent
C102,4,English,I love my cat,I lub my cat,70,Background chatter
C103,5,English,Thank you,Tank you,85,Clear
C104,5,English,Can I play now?,Can I pay now,75,Slight accent
C105,5,English,Please help me,Pwease help me,60,Moderate background noise
C106,3,English,This is my toy car,This is my toy cah,90,Clear
C107,3,English,I want a cookie,I want a cookee,80,Clear
C108,5,English,Where is my ball?,Where is my bawl?,85,Slight accent
C109,4,English,The cat is under the bed,The cat is undew the bed,70,Background chatter
C110,3,English,I see a red car,I see a wed cah,75,Slight accent
C111,4,English,Let?s go outside,Wet?s go outside,70,Mild background noise
C112,3,English,I want to drink water,I want to dwink wata,65,Slight accent
C113,4,English,The dog is barking,The dog is bawkin',80,Clear
C114,5,English,Can I have my ball back?,Can I haf my bawl back?,75,Moderate background noise
C115,4,English,I like playing with cars,I wike pwayin' wif cahs,70,Background chatter
C116,5,English,My ball is red,My bawl is wed,85,Clear
C117,3,English,"Can I get a cookie, please?","Can I get a cookee, pwease?",75,Slight accent
C118,4,English,It?s time for school,It?s time fow schoo,80,Clear
C119,6,English,Where is my ball?,Where is my ball?,100,Clear
C120,5,English,Please help me,Please help me,94,Slight accent
C121,5,English,My favorite color is red,My favorite color is red,100,Clear
C122,3,English,Good morning,Gud mornin,75,Background chatter
C123,3,English,Good morning,Gud mornin,87,Clear
C124,5,English,This is my toy car,This is my toy car,99,Slight accent
C125,4,English,Let?s go outside,Wet?s go outside,81,Slight accent
C126,6,English,I want a cookie,I want a cookie,100,Clear
C127,4,English,Let?s go outside,Wet?s go outside,87,Clear
C128,6,English,Good morning,Good morning,100,Slight accent
C129,4,English,Please help me,Pwease help me,95,Clear
C130,6,English,Can I play now?,Can I play now?,100,Clear
C131,5,English,My favorite color is red,My favorite color is red,100,Slight accent
C132,4,English,I want a cookie,I want a cookee,95,Slight accent
C133,5,English,This is my toy car,This is my toy car,100,Slight accent
C134,3,English,I love my cat,I lub my cat,89,Slight accent
C135,4,English,I love my cat,I lub my cat,92,Slight accent
C136,4,English,Thank you,Tank you,93,Clear
C137,4,English,Where is my ball?,Where is my bawl?,81,Slight accent
C138,3,English,This is my toy car,This is my toy cah,72,Background chatter
C139,3,English,Good morning,Gud mornin,84,Slight accent
C140,3,English,Please help me,Pwease help me,85,Clear
C141,3,English,Please help me,Pwease help me,90,Clear
C142,4,English,Good morning,Gud mornin,100,Slight accent
C143,3,English,Where is my ball?,Where is my bawl?,88,Slight accent
C144,5,English,My favorite color is red,My favorite color is red,100,Slight accent
C145,4,English,This is my toy car,This is my toy cah,96,Clear
C146,3,English,Good morning,Gud mornin,84,Background chatter
C147,3,English,Can I play now?,Can I pay now,90,Clear
C148,6,English,Can I play now?,Can I play now?,100,Slight accent
C149,5,English,Good morning,Good morning,94,Slight accent
C150,5,English,This is my toy car,This is my toy car,91,Slight accent
C151,3,English,I love my cat,I lub my cat,83,Mild background noise
C152,6,English,I love my cat,I love my cat,100,Slight accent
C153,4,English,I love my cat,I lub my cat,94,Slight accent
C154,3,English,Good morning,Gud mornin,74,Mild background noise
C155,3,English,Can I play now?,Can I pay now,73,Background chatter
C156,3,English,Good morning,Gud mornin,84,Background chatter
C157,5,English,Please help me,Please help me,90,Clear
C158,5,English,My favorite color is red,My favorite color is red,100,Slight accent
C159,6,English,Where is my ball?,Where is my ball?,100,Slight accent
C160,6,English,Can I play now?,Can I play now?,100,Slight accent
C161,4,English,Where is my ball?,Where is my bawl?,91,Slight accent
C162,3,English,Where is my ball?,Where is my bawl?,71,Background chatter
C163,4,English,Thank you,Tank you,80,Slight accent
C164,4,English,Where is my ball?,Where is my bawl?,80,Background chatter
C165,4,English,This is my toy car,This is my toy cah,98,Slight accent
C166,6,English,Where is my ball?,Where is my ball?,100,Slight accent
C167,6,English,Let?s go outside,Let?s go outside,100,Slight accent
C168,3,English,My favorite color is red,My favwite colow is wed,72,Slight accent
C169,3,English,I love my cat,I lub my cat,74,Mild background noise
C170,4,English,My favorite color is red,My favwite colow is wed,81,Mild background noise
C171,3,English,My favorite color is red,My favwite colow is wed,70,Mild background noise
C172,4,English,Good morning,Gud mornin,83,Slight accent
C173,5,English,I want a cookie,I want a cookie,96,Clear
C174,6,English,I want a cookie,I want a cookie,100,Slight accent
C175,5,English,Where is my ball?,Where is my ball?,90,Clear
C176,4,English,I want a cookie,I want a cookee,100,Clear
C177,6,English,Let?s go outside,Let?s go outside,100,Clear
C178,3,English,I love my cat,I lub my cat,81,Slight accent
C179,5,English,I want a cookie,I want a cookie,94,Clear
C180,3,English,Let?s go outside,Wet?s go outside,77,Slight accent
C181,3,English,My favorite color is red,My favwite colow is wed,84,Background chatter
C182,6,English,I want a cookie,I want a cookie,100,Slight accent
C183,5,English,Can I play now?,Can I play now?,93,Slight accent
C184,4,English,Thank you,Tank you,80,Mild background noise
C185,6,English,I want a cookie,I want a cookie,100,Slight accent
C186,4,English,I love my cat,I lub my cat,80,Background chatter
C187,4,English,I want a cookie,I want a cookee,99,Clear
C188,5,English,Thank you,Thank you,95,Clear
C189,6,English,Where is my ball?,Where is my ball?,100,Clear
C190,6,English,Please help me,Please help me,100,Clear
C191,3,English,I love my cat,I lub my cat,84,Slight accent
C192,5,English,My favorite color is red,My favorite color is red,92,Clear
C193,3,English,Let?s go outside,Wet?s go outside,72,Background chatter
C194,6,English,Where is my ball?,Where is my ball?,100,Slight accent
C195,5,English,Please help me,Please help me,100,Clear
C196,5,English,My favorite color is red,My favorite color is red,92,Slight accent
C197,3,English,Where is my ball?,Where is my bawl?,74,Mild background noise
C198,3,English,Where is my ball?,Where is my bawl?,87,Clear
C199,5,English,Let?s go outside,Let?s go outside,100,Clear
C200,5,English,Please help me,Please help me,93,Slight accent
C201,4,English,Thank you,Tank you,93,Clear
C202,3,English,Let?s go outside,Wet?s go outside,88,Clear
C203,5,English,Thank you,Thank you,100,Slight accent
C204,3,English,Good morning,Gud mornin,70,Background chatter
C205,4,English,Good morning,Gud mornin,81,Mild background noise
C206,3,English,Thank you,Tank you,71,Slight accent
C207,4,English,Can I play now?,Can I pay now,89,Clear
C208,4,English,Good morning,Gud mornin,93,Clear
C209,4,English,Let?s go outside,Wet?s go outside,80,Background chatter
C210,6,English,Thank you,Thank you,100,Clear
C211,5,English,Thank you,Thank you,100,Clear
C212,5,English,Good morning,Good morning,100,Slight accent
C213,3,English,My favorite color is red,My favwite colow is wed,79,Background chatter
C214,5,English,I want a cookie,I want a cookie,100,Clear
C215,6,English,Where is my ball?,Where is my ball?,100,Clear
C216,5,English,Let?s go outside,Let?s go outside,100,Clear
C217,3,English,I love my cat,I lub my cat,75,Background chatter
C218,6,English,Let?s go outside,Let?s go outside,100,Clear
C219,6,English,Let?s go outside,Let?s go outside,100,Clear
C220,4,English,Can I play now?,Can I pay now,81,Mild background noise
C221,3,English,Thank you,Tank you,89,Slight accent
C222,6,English,Can I play now?,Can I play now?,100,Slight accent
C223,3,English,Please help me,Pwease help me,76,Mild background noise
C224,3,English,Let?s go outside,Wet?s go outside,84,Background chatter
C225,3,English,Please help me,Pwease help me,75,Mild background noise
C226,3,English,This is my toy car,This is my toy cah,77,Background chatter
C227,6,English,My favorite color is red,My favorite color is red,100,Clear
C228,6,English,Let?s go outside,Let?s go outside,100,Slight accent
C229,6,English,Thank you,Thank you,100,Slight accent
C230,4,English,I want a cookie,I want a cookee,83,Mild background noise
C231,6,English,Where is my ball?,Where is my ball?,100,Slight accent
C232,4,English,Good morning,Gud mornin,80,Mild background noise
C233,4,English,Where is my ball?,Where is my bawl?,84,Mild background noise
C234,6,English,Let?s go outside,Let?s go outside,100,Slight accent
C235,6,English,Can I play now?,Can I play now?,100,Slight accent
C236,3,English,Please help me,Pwease help me,71,Background chatter
C237,4,English,Thank you,Tank you,86,Clear
C238,6,English,Thank you,Thank you,100,Clear
C239,5,English,Good morning,Good morning,100,Clear
C240,4,English,Please help me,Pwease help me,87,Slight accent
C241,3,English,Good morning,Gud mornin,77,Mild background noise
C242,6,English,Let?s go outside,Let?s go outside,100,Slight accent
C243,3,English,Please help me,Pwease help me,72,Slight accent
C244,4,English,Good morning,Gud mornin,100,Clear
C245,4,English,Where is my ball?,Where is my bawl?,95,Clear
C246,4,English,Thank you,Tank you,88,Clear
C247,4,English,Let?s go outside,Wet?s go outside,88,Slight accent
C248,3,English,Let?s go outside,Wet?s go outside,84,Slight accent
C249,6,English,Good morning,Good morning,100,Slight accent
C250,5,English,Good morning,Good morning,91,Clear
C251,3,English,I want a cookie,I want a cookee,87,Clear
C252,5,English,I want a cookie,I want a cookie,99,Clear
C253,3,English,Thank you,Tank you,77,Slight accent
C254,4,English,I love my cat,I lub my cat,96,Clear
C255,6,English,I want a cookie,I want a cookie,100,Clear
C256,6,English,Good morning,Good morning,100,Clear
C257,5,English,I want a cookie,I want a cookie,100,Slight accent
C258,4,English,Please help me,Pwease help me,87,Slight accent
C259,6,English,This is my toy car,This is my toy car,100,Slight accent
C260,5,English,Thank you,Thank you,90,Clear
C261,6,English,I love my cat,I love my cat,100,Slight accent
C262,5,English,I want a cookie,I want a cookie,100,Clear
C263,5,English,Let?s go outside,Let?s go outside,93,Clear
C264,4,English,Let?s go outside,Wet?s go outside,100,Slight accent
C265,5,English,Let?s go outside,Let?s go outside,97,Clear
C266,4,English,Please help me,Pwease help me,97,Clear
C267,3,English,I want a cookie,I want a cookee,76,Mild background noise
C268,5,English,Thank you,Thank you,98,Clear
C269,6,English,This is my toy car,This is my toy car,100,Clear
C270,6,English,Let?s go outside,Let?s go outside,100,Slight accent
C271,4,English,Let?s go outside,Wet?s go outside,88,Clear
C272,5,English,Can I play now?,Can I play now?,94,Slight accent
C273,5,English,Good morning,Good morning,100,Slight accent
C274,6,English,My favorite color is red,My favorite color is red,100,Slight accent
C275,5,English,My favorite color is red,My favorite color is red,100,Slight accent
C276,5,English,Can I play now?,Can I play now?,97,Slight accent
C277,5,English,I want a cookie,I want a cookie,98,Slight accent
C278,4,English,Let?s go outside,Wet?s go outside,96,Slight accent
C279,6,English,I want a cookie,I want a cookie,100,Clear
C280,5,English,Can I play now?,Can I play now?,93,Slight accent
C281,6,English,Can I play now?,Can I play now?,100,Clear
C282,4,English,My favorite color is red,My favwite colow is wed,97,Slight accent
C283,5,English,Where is my ball?,Where is my ball?,100,Slight accent
C284,6,English,Where is my ball?,Where is my ball?,100,Clear
C285,3,English,I want a cookie,I want a cookee,72,Slight accent
C286,3,English,I love my cat,I lub my cat,85,Clear
C287,3,English,I want a cookie,I want a cookee,75,Slight accent
C288,6,English,I love my cat,I love my cat,100,Clear
C289,6,English,I love my cat,I love my cat,100,Clear
C290,5,English,My favorite color is red,My favorite color is red,91,Clear
C291,4,English,I love my cat,I lub my cat,81,Background chatter
C292,3,English,Thank you,Tank you,84,Background chatter
C293,3,English,I love my cat,I lub my cat,73,Slight accent
C294,3,English,My favorite color is red,My favwite colow is wed,76,Background chatter
C295,3,English,Where is my ball?,Where is my bawl?,84,Slight accent
C296,6,English,Thank you,Thank you,100,Slight accent
C297,3,English,Please help me,Pwease help me,70,Background chatter
C298,3,English,I love my cat,I lub my cat,79,Background chatter
C299,5,English,Can I play now?,Can I play now?,100,Clear
C300,6,English,Thank you,Thank you,100,Clear
C301,4,English,Thank you,Tank you,84,Slight accent
C302,6,English,Where is my ball?,Where is my ball?,100,Slight accent
C303,5,English,Good morning,Good morning,100,Slight accent
C304,3,English,I want a cookie,I want a cookee,74,Slight accent
C305,6,English,Let?s go outside,Let?s go outside,100,Clear
C306,3,English,Where is my ball?,Where is my bawl?,89,Clear
C307,6,English,Can I play now?,Can I play now?,100,Clear
C308,5,English,My favorite color is red,My favorite color is red,100,Slight accent
C309,3,English,Let?s go outside,Wet?s go outside,80,Slight accent
C310,5,English,Where is my ball?,Where is my ball?,97,Clear
C311,6,English,Good morning,Good morning,100,Slight accent
C312,5,English,Let?s go outside,Let?s go outside,100,Slight accent
C313,3,English,Please help me,Pwease help me,84,Slight accent
C314,5,English,My favorite color is red,My favorite color is red,91,Clear
C315,3,English,I want a cookie,I want a cookee,70,Slight accent
C316,3,English,My favorite color is red,My favwite colow is wed,70,Background chatter
C317,4,English,Where is my ball?,Where is my bawl?,87,Clear
C318,6,English,I love my cat,I love my cat,100,Clear
C319,6,English,Please help me,Please help me,100,Slight accent
C320,6,English,Can I play now?,Can I play now?,100,Slight accent
C321,3,English,Where is my ball?,Where is my bawl?,85,Clear
C322,4,English,Please help me,Pwease help me,81,Background chatter
C323,3,English,I want a cookie,I want a cookee,84,Slight accent
C324,3,English,Thank you,Tank you,70,Background chatter
C325,3,English,I love my cat,I lub my cat,70,Background chatter
C326,4,English,Can I play now?,Can I pay now,81,Mild background noise
C327,5,English,Can I play now?,Can I play now?,94,Slight accent
C328,3,English,Where is my ball?,Where is my bawl?,83,Mild background noise
C329,4,English,Thank you,Tank you,87,Slight accent
C330,5,English,Please help me,Please help me,97,Clear
C331,6,English,Let?s go outside,Let?s go outside,100,Clear
C332,3,English,Good morning,Gud mornin,71,Background chatter
C333,4,English,Let?s go outside,Wet?s go outside,96,Slight accent
C334,3,English,Good morning,Gud mornin,74,Background chatter
C335,4,English,Let?s go outside,Wet?s go outside,86,Slight accent
C336,5,English,Where is my ball?,Where is my ball?,91,Slight accent
C337,6,English,Can I play now?,Can I play now?,100,Slight accent
C338,5,English,Thank you,Thank you,100,Slight accent
C339,3,English,Let?s go outside,Wet?s go outside,75,Slight accent
C340,3,English,Thank you,Tank you,85,Clear
C341,4,English,Thank you,Tank you,83,Mild background noise
C342,5,English,Can I play now?,Can I play now?,100,Slight accent
C343,5,English,I love my cat,I love my cat,100,Clear
C344,4,English,My favorite color is red,My favwite colow is wed,80,Mild background noise
C345,3,English,I want a cookie,I want a cookee,76,Background chatter
C346,4,English,Good morning,Gud mornin,98,Slight accent
