child_id,Age,Language,Phrase,Transcript,Pronounciation_Score,Accent/Noise_info
C347,4,English,Good morning,Gud mornin,90,Clear
C348,4,English,Can I play now?,Can I pay now,95,Slight accent
C349,5,English,My favorite color is red,My favorite color is red,90,Clear
C350,5,English,Let?s go outside,Let?s go outside,97,Slight accent
C351,4,English,Thank you,Tank you,80,Background chatter
C352,3,English,My favorite color is red,My favwite colow is wed,81,Mild background noise
C353,4,English,Let?s go outside,Wet?s go outside,88,Clear
C354,4,English,I want a cookie,I want a cookee,100,Clear
C355,3,English,I love my cat,I lub my cat,73,Background chatter
C356,5,English,Where is my ball?,Where is my ball?,100,Slight accent
C357,3,English,I love my cat,I lub my cat,76,Background chatter
C358,6,English,My favorite color is red,My favorite color is red,100,Clear
C359,5,English,Where is my ball?,Where is my ball?,98,Slight accent
C360,5,English,My favorite color is red,My favorite color is red,100,Slight accent
C361,6,English,Thank you,Thank you,100,Clear
C362,6,English,I want a cookie,I want a cookie,100,Clear
C363,3,English,Please help me,Pwease help me,87,Slight accent
C364,4,English,This is my toy car,This is my toy cah,81,Mild background noise
C365,4,English,My favorite color is red,My favwite colow is wed,92,Clear
C366,3,English,Please help me,Pwease help me,87,Clear
C367,3,English,Where is my ball?,Where is my bawl?,75,Mild background noise
C368,6,English,I love my cat,I love my cat,100,Slight accent
C369,6,English,My favorite color is red,My favorite color is red,100,Slight accent
C370,6,English,Please help me,Please help me,100,Slight accent
C371,6,English,This is my toy car,This is my toy car,100,Clear
C372,6,English,My favorite color is red,My favorite color is red,100,Clear
C373,5,English,Thank you,Thank you,91,Slight accent
C374,4,English,I want a cookie,I want a cookee,88,Clear
C375,3,English,This is my toy car,This is my toy cah,71,Background chatter
C376,4,English,I want a cookie,I want a cookee,89,Slight accent
C377,5,English,Thank you,Thank you,100,Slight accent
C378,4,English,This is my toy car,This is my toy cah,87,Clear
C379,3,English,This is my toy car,This is my toy cah,78,Mild background noise
C380,5,English,This is my toy car,This is my toy car,100,Slight accent
C381,6,English,Thank you,Thank you,100,Clear
C382,5,English,Can I play now?,Can I play now?,94,Slight accent
C383,6,English,This is my toy car,This is my toy car,100,Clear
C384,3,English,This is my toy car,This is my toy cah,84,Slight accent
C385,4,English,Please help me,Pwease help me,83,Mild background noise
C386,3,English,Please help me,Pwease help me,75,Background chatter
C387,5,English,I love my cat,I love my cat,96,Slight accent
C388,4,English,Please help me,Pwease help me,96,Slight accent
C389,3,English,I want a cookie,I want a cookee,89,Clear
C390,3,English,Thank you,Tank you,79,Slight accent
C391,4,English,This is my toy car,This is my toy cah,94,Slight accent
C392,5,English,My favorite color is red,My favorite color is red,100,Slight accent
C393,3,English,Please help me,Pwease help me,79,Background chatter
C394,5,English,This is my toy car,This is my toy car,94,Slight accent
C395,4,English,My favorite color is red,My favwite colow is wed,96,Clear
C396,3,English,Good morning,Gud mornin,84,Background chatter
C397,6,English,Good morning,Good morning,100,Clear
C398,6,English,I love my cat,I love my cat,100,Slight accent
C399,3,English,Please help me,Pwease help me,73,Background chatter
C400,4,English,Let?s go outside,Wet?s go outside,96,Slight accent
C401,4,English,Where is my ball?,Where is my bawl?,80,Slight accent
C402,4,English,My favorite color is red,My favwite colow is wed,91,Clear
C403,6,English,My favorite color is red,My favorite color is red,100,Clear
C404,6,English,I want a cookie,I want a cookie,100,Slight accent
C405,6,English,Can I play now?,Can I play now?,100,Slight accent
C406,5,English,Can I play now?,Can I play now?,96,Slight accent
C407,3,English,Thank you,Tank you,72,Slight accent
C408,6,English,Where is my ball?,Where is my ball?,100,Slight accent
C409,6,English,Let?s go outside,Let?s go outside,100,Clear
C410,4,English,I want a cookie,I want a cookee,82,Slight accent
C411,4,English,I want a cookie,I want a cookee,94,Clear
C412,5,English,Please help me,Please help me,100,Slight accent
C413,3,English,Where is my ball?,Where is my bawl?,79,Background chatter
C414,5,English,I love my cat,I love my cat,100,Clear
C415,6,English,Please help me,Please help me,100,Clear
C416,4,English,Good morning,Gud mornin,93,Clear
C417,5,English,Thank you,Thank you,95,Slight accent
C418,5,English,Good morning,Good morning,100,Clear
C419,3,English,Where is my ball?,Where is my bawl?,74,Mild background noise
C420,3,English,I want a cookie,I want a cookee,72,Slight accent
C421,3,English,I want a cookie,I want a cookee,76,Background chatter
C422,3,English,Can I play now?,Can I pay now,86,Slight accent
C423,6,English,This is my toy car,This is my toy car,100,Slight accent
C424,5,English,Please help me,Please help me,100,Slight accent
C425,3,English,This is my toy car,This is my toy cah,79,Slight accent
C426,4,English,Good morning,Gud mornin,93,Slight accent
C427,5,English,Where is my ball?,Where is my ball?,100,Clear
C428,3,English,My favorite color is red,My favwite colow is wed,87,Slight accent
C429,6,English,Good morning,Good morning,100,Clear
C430,6,English,Can I play now?,Can I play now?,100,Clear
C431,4,English,Where is my ball?,Where is my bawl?,97,Clear
C432,3,English,My favorite color is red,My favwite colow is wed,90,Slight accent
C433,3,English,Where is my ball?,Where is my bawl?,83,Slight accent
C434,3,English,Let?s go outside,Wet?s go outside,82,Background chatter
C435,3,English,Good morning,Gud mornin,72,Mild background noise
C436,6,English,I love my cat,I love my cat,100,Clear
C437,6,English,Thank you,Thank you,100,Slight accent
C438,4,English,This is my toy car,This is my toy cah,92,Slight accent
C439,4,English,This is my toy car,This is my toy cah,95,Slight accent
C440,6,English,I want a cookie,I want a cookie,100,Slight accent
C441,6,English,I want a cookie,I want a cookie,100,Slight accent
C442,5,English,I want a cookie,I want a cookie,100,Slight accent
C443,3,English,I love my cat,I lub my cat,81,Mild background noise
C444,3,English,My favorite color is red,My favwite colow is wed,80,Background chatter
C445,4,English,Let?s go outside,Wet?s go outside,100,Clear
C446,5,English,I want a cookie,I want a cookie,98,Clear
C447,5,English,Where is my ball?,Where is my ball?,100,Clear
C448,4,English,Thank you,Tank you,91,Clear
C449,3,English,Where is my ball?,Where is my bawl?,82,Background chatter
C450,3,English,I want a cookie,I want a cookee,78,Slight accent
C451,4,English,I love my cat,I lub my cat,95,Clear
C452,3,English,Good morning,Gud mornin,75,Mild background noise
C453,6,English,I love my cat,I love my cat,100,Slight accent
C454,3,English,Can I play now?,Can I pay now,85,Clear
C455,6,English,My favorite color is red,My favorite color is red,100,Clear
C456,3,English,Where is my ball?,Where is my bawl?,75,Slight accent
C457,6,English,I love my cat,I love my cat,100,Clear
C458,4,English,Can I play now?,Can I pay now,89,Clear
C459,5,English,I love my cat,I love my cat,99,Slight accent
C460,3,English,Can I play now?,Can I pay now,82,Mild background noise
C461,5,English,Thank you,Thank you,100,Clear
C462,5,English,Good morning,Good morning,100,Clear
C463,4,English,I want a cookie,I want a cookee,88,Clear
C464,4,English,I want a cookie,I want a cookee,99,Slight accent
C465,5,English,Where is my ball?,Where is my ball?,98,Slight accent
C466,4,English,Please help me,Pwease help me,100,Slight accent
C467,5,English,My favorite color is red,My favorite color is red,90,Slight accent
C468,5,English,This is my toy car,This is my toy car,100,Slight accent
C469,4,English,Thank you,Tank you,98,Slight accent
C470,4,English,Good morning,Gud mornin,94,Clear
C471,3,English,Can I play now?,Can I pay now,84,Mild background noise
C472,6,English,I love my cat,I love my cat,100,Clear
C473,5,English,I want a cookie,I want a cookie,93,Slight accent
C474,5,English,Please help me,Please help me,100,Clear
C475,3,English,Thank you,Tank you,80,Mild background noise
C476,6,English,My favorite color is red,My favorite color is red,100,Clear
C477,5,English,This is my toy car,This is my toy car,100,Slight accent
C478,4,English,Let?s go outside,Wet?s go outside,83,Mild background noise
C479,3,English,Good morning,Gud mornin,86,Clear
C480,6,English,I love my cat,I love my cat,100,Slight accent
C481,5,English,Thank you,Thank you,100,Slight accent
C482,3,English,Thank you,Tank you,70,Slight accent
C483,4,English,Good morning,Gud mornin,83,Mild background noise
C484,6,English,I love my cat,I love my cat,100,Slight accent
C485,5,English,Thank you,Thank you,96,Clear
C486,5,English,I want a cookie,I want a cookie,92,Clear
C487,4,English,This is my toy car,This is my toy cah,87,Slight accent
C488,4,English,Please help me,Pwease help me,87,Slight accent
C489,4,English,Good morning,Gud mornin,82,Slight accent
C490,5,English,Can I play now?,Can I play now?,100,Clear
C491,6,English,Thank you,Thank you,100,Slight accent
C492,6,English,Thank you,Thank you,100,Slight accent
C493,4,English,Where is my ball?,Where is my bawl?,85,Slight accent
C494,6,English,I want a cookie,I want a cookie,100,Slight accent
C495,5,English,Please help me,Please help me,92,Clear
C496,6,English,I love my cat,I love my cat,100,Clear
C497,3,English,Where is my ball?,Where is my bawl?,85,Slight accent
C498,5,English,Let?s go outside,Let?s go outside,100,Slight accent
C499,3,English,I love my cat,I lub my cat,78,Slight accent
C500,3,English,I love my cat,I lub my cat,81,Slight accent
C501,6,English,My favorite color is red,My favorite color is red,100,Clear
C502,4,English,Thank you,Tank you,90,Clear
C503,3,English,Good morning,Gud mornin,83,Mild background noise
C504,4,English,Where is my ball?,Where is my bawl?,98,Clear
C505,5,English,Let?s go outside,Let?s go outside,100,Slight accent
C506,6,English,Can I play now?,Can I play now?,100,Clear
C507,6,English,Can I play now?,Can I play now?,100,Clear
C508,3,English,My favorite color is red,My favwite colow is wed,75,Mild background noise
C509,6,English,Where is my ball?,Where is my ball?,100,Slight accent
C510,4,English,I want a cookie,I want a cookee,90,Slight accent
C511,3,English,Thank you,Tank you,83,Slight accent
C512,4,English,I want a cookie,I want a cookee,94,Slight accent
C513,4,English,Please help me,Pwease help me,98,Slight accent
C514,5,English,Where is my ball?,Where is my ball?,93,Slight accent
C515,4,English,Let?s go outside,Wet?s go outside,88,Clear
C516,6,English,This is my toy car,This is my toy car,100,Slight accent
C517,5,English,Let?s go outside,Let?s go outside,100,Slight accent
C518,4,English,I love my cat,I lub my cat,81,Mild background noise
C519,6,English,Thank you,Thank you,100,Slight accent
C520,5,English,Let?s go outside,Let?s go outside,94,Clear
C521,4,English,Thank you,Tank you,99,Clear
C522,5,English,Thank you,Thank you,94,Clear
C523,3,English,Good morning,Gud mornin,87,Clear
C524,3,English,Good morning,Gud mornin,78,Mild background noise
C525,3,English,Thank you,Tank you,79,Slight accent
C526,5,English,Thank you,Thank you,100,Clear
C527,5,English,Can I play now?,Can I play now?,98,Slight accent
C528,6,English,Can I play now?,Can I play now?,100,Slight accent
C529,4,English,My favorite color is red,My favwite colow is wed,89,Clear
C530,4,English,Let?s go outside,Wet?s go outside,90,Clear
C531,6,English,This is my toy car,This is my toy car,100,Slight accent
C532,3,English,Can I play now?,Can I pay now,84,Background chatter
C533,6,English,Let?s go outside,Let?s go outside,100,Slight accent
C534,5,English,Can I play now?,Can I play now?,98,Clear
C535,3,English,My favorite color is red,My favwite colow is wed,72,Mild background noise
C536,6,English,Thank you,Thank you,100,Clear
C537,4,English,Good morning,Gud mornin,84,Background chatter
C538,4,English,This is my toy car,This is my toy cah,95,Slight accent
C539,3,English,I love my cat,I lub my cat,75,Background chatter
C540,5,English,Please help me,Please help me,100,Slight accent
C541,6,English,This is my toy car,This is my toy car,100,Slight accent
C542,6,English,I want a cookie,I want a cookie,100,Clear
C543,6,English,This is my toy car,This is my toy car,100,Slight accent
C544,3,English,My favorite color is red,My favwite colow is wed,90,Clear
C545,6,English,My favorite color is red,My favorite color is red,100,Slight accent
C546,4,English,Let?s go outside,Wet?s go outside,82,Background chatter
C547,5,English,I want a cookie,I want a cookie,100,Clear
C548,6,English,I love my cat,I love my cat,100,Clear
C549,6,English,Where is my ball?,Where is my ball?,100,Clear
C550,6,English,Please help me,Please help me,100,Clear
C551,3,English,Please help me,Pwease help me,71,Mild background noise
C552,3,English,Thank you,Tank you,89,Clear
C553,4,English,Where is my ball?,Where is my bawl?,98,Slight accent
C554,6,English,I want a cookie,I want a cookie,100,Slight accent
C555,3,English,Thank you,Tank you,80,Slight accent
C556,6,English,I love my cat,I love my cat,100,Slight accent
C557,3,English,Thank you,Tank you,76,Mild background noise
C558,3,English,Let?s go outside,Wet?s go outside,75,Slight accent
C559,3,English,My favorite color is red,My favwite colow is wed,71,Mild background noise
C560,5,English,My favorite color is red,My favorite color is red,98,Clear
C561,4,English,This is my toy car,This is my toy cah,81,Mild background noise
C562,6,English,I want a cookie,I want a cookie,100,Slight accent
C563,6,English,Can I play now?,Can I play now?,100,Clear
C564,4,English,Can I play now?,Can I pay now,93,Slight accent
C565,5,English,Where is my ball?,Where is my ball?,100,Slight accent
C566,5,English,Good morning,Good morning,100,Slight accent
C567,3,English,Thank you,Tank you,80,Slight accent
C568,3,English,Good morning,Gud mornin,87,Clear
C569,4,English,This is my toy car,This is my toy cah,82,Mild background noise
C570,6,English,Let?s go outside,Let?s go outside,100,Clear
C571,4,English,Can I play now?,Can I pay now,99,Clear
C572,6,English,My favorite color is red,My favorite color is red,100,Clear
C573,4,English,Good morning,Gud mornin,96,Slight accent
C574,4,English,I want a cookie,I want a cookee,80,Slight accent
C575,6,English,This is my toy car,This is my toy car,100,Slight accent
C576,4,English,Thank you,Tank you,84,Slight accent
C577,5,English,I love my cat,I love my cat,95,Slight accent
C578,5,English,My favorite color is red,My favorite color is red,94,Slight accent
C579,5,English,This is my toy car,This is my toy car,100,Clear
C580,4,English,Let?s go outside,Wet?s go outside,96,Slight accent
C581,4,English,Thank you,Tank you,90,Slight accent
C582,5,English,Can I play now?,Can I play now?,100,Clear
C583,4,English,Can I play now?,Can I pay now,97,Slight accent
C584,3,English,Please help me,Pwease help me,77,Slight accent
C585,4,English,Thank you,Tank you,100,Slight accent
C586,4,English,Good morning,Gud mornin,80,Slight accent
C587,5,English,I want a cookie,I want a cookie,100,Slight accent
C588,3,English,My favorite color is red,My favwite colow is wed,76,Background chatter
C589,4,English,Thank you,Tank you,97,Clear
C590,5,English,Where is my ball?,Where is my ball?,91,Slight accent
C591,3,English,Can I play now?,Can I pay now,75,Mild background noise
C592,3,English,Please help me,Pwease help me,83,Background chatter
C593,3,English,I love my cat,I lub my cat,84,Background chatter
C594,4,English,Thank you,Tank you,85,Slight accent
C595,5,English,Good morning,Good morning,97,Slight accent
C596,5,English,Let?s go outside,Let?s go outside,95,Clear
C597,5,English,Thank you,Thank you,100,Slight accent
C598,6,English,I love my cat,I love my cat,100,Slight accent
C599,6,English,Let?s go outside,Let?s go outside,100,Slight accent
C600,6,English,I want a cookie,I want a cookie,100,Clear
C601,4,English,Please help me,Pwease help me,98,Clear
C602,4,English,Good morning,Gud mornin,85,Clear
C603,3,English,Good morning,Gud mornin,81,Background chatter
C604,6,English,I love my cat,I love my cat,100,Slight accent
C605,6,English,This is my toy car,This is my toy car,100,Slight accent
C606,6,English,Where is my ball?,Where is my ball?,100,Slight accent
C607,3,English,Please help me,Pwease help me,80,Slight accent
C608,4,English,My favorite color is red,My favwite colow is wed,100,Clear
C609,3,English,Can I play now?,Can I pay now,83,Background chatter
C610,6,English,My favorite color is red,My favorite color is red,100,Clear
C611,6,English,Good morning,Good morning,100,Clear
C612,6,English,Good morning,Good morning,100,Slight accent
C613,4,English,Thank you,Tank you,84,Background chatter
C614,5,English,I love my cat,I love my cat,100,Clear
C615,4,English,Let?s go outside,Wet?s go outside,91,Clear
C616,4,English,Thank you,Tank you,99,Clear
C617,3,English,This is my toy car,This is my toy cah,74,Mild background noise
C618,5,English,Can I play now?,Can I play now?,100,Slight accent
C619,6,English,Can I play now?,Can I play now?,100,Clear
C620,4,English,I love my cat,I lub my cat,81,Background chatter
C621,6,English,I love my cat,I love my cat,100,Slight accent
C622,3,English,I love my cat,I lub my cat,73,Background chatter
C623,6,English,Please help me,Please help me,100,Clear
C624,6,English,Where is my ball?,Where is my ball?,100,Clear
C625,4,English,This is my toy car,This is my toy cah,97,Clear
C626,4,English,Thank you,Tank you,86,Slight accent
C627,4,English,My favorite color is red,My favwite colow is wed,94,Clear
C628,4,English,I want a cookie,I want a cookee,87,Slight accent
C629,5,English,Let?s go outside,Let?s go outside,100,Clear
C630,4,English,Thank you,Tank you,84,Background chatter
C631,3,English,Where is my ball?,Where is my bawl?,79,Mild background noise
C632,3,English,My favorite color is red,My favwite colow is wed,82,Slight accent
C633,4,English,Please help me,Pwease help me,91,Clear
C634,3,English,I love my cat,I lub my cat,86,Clear
C635,3,English,Where is my ball?,Where is my bawl?,85,Clear
C636,6,English,Thank you,Thank you,100,Clear
C637,6,English,Please help me,Please help me,100,Clear
C638,5,English,Please help me,Please help me,100,Clear
C639,5,English,Thank you,Thank you,100,Slight accent
C640,3,English,Please help me,Pwease help me,80,Slight accent
C641,3,English,Please help me,Pwease help me,83,Slight accent
C642,6,English,My favorite color is red,My favorite color is red,100,Clear
C643,4,English,Good morning,Gud mornin,86,Slight accent
C644,5,English,I love my cat,I love my cat,96,Slight accent
C645,4,English,I want a cookie,I want a cookee,89,Slight accent
C646,3,English,I love my cat,I lub my cat,77,Slight accent
C647,5,English,Good morning,Good morning,100,Slight accent
C648,4,English,My favorite color is red,My favwite colow is wed,88,Clear
C649,5,English,My favorite color is red,My favorite color is red,100,Clear
C650,5,English,Thank you,Thank you,91,Slight accent
C651,4,English,Thank you,Tank you,83,Slight accent
C652,3,English,Can I play now?,Can I pay now,80,Mild background noise
C653,3,English,Let?s go outside,Wet?s go outside,87,Clear
C654,4,English,Let?s go outside,Wet?s go outside,98,Slight accent
C655,3,English,This is my toy car,This is my toy cah,88,Slight accent
C656,3,English,I want a cookie,I want a cookee,78,Mild background noise
C657,3,English,Can I play now?,Can I pay now,75,Slight accent
C658,5,English,Thank you,Thank you,100,Slight accent
C659,5,English,This is my toy car,This is my toy car,92,Slight accent
C660,6,English,Good morning,Good morning,100,Slight accent
C661,4,English,Let?s go outside,Wet?s go outside,95,Slight accent
C662,6,English,Please help me,Please help me,100,Clear
C663,3,English,My favorite color is red,My favwite colow is wed,74,Mild background noise
C664,3,English,Can I play now?,Can I pay now,82,Background chatter
C665,4,English,Where is my ball?,Where is my bawl?,99,Slight accent
C666,6,English,Let?s go outside,Let?s go outside,100,Slight accent
C667,5,English,I want a cookie,I want a cookie,100,Clear
C668,6,English,This is my toy car,This is my toy car,100,Slight accent
C669,4,English,This is my toy car,This is my toy cah,81,Mild background noise
C670,6,English,Let?s go outside,Let?s go outside,100,Slight accent
C671,5,English,I want a cookie,I want a cookie,100,Clear
C672,5,English,Please help me,Please help me,100,Slight accent
C673,5,English,My favorite color is red,My favorite color is red,100,Clear
C674,4,English,I love my cat,I lub my cat,95,Slight accent
C675,6,English,Can I play now?,Can I play now?,100,Clear
C676,6,English,Let?s go outside,Let?s go outside,100,Slight accent
C677,4,English,Can I play now?,Can I pay now,88,Slight accent
C678,5,English,Where is my ball?,Where is my ball?,100,Clear
C679,6,English,My favorite color is red,My favorite color is red,100,Clear
C680,5,English,I want a cookie,I want a cookie,92,Slight accent
C681,3,English,Where is my ball?,Where is my bawl?,78,Slight accent
C682,5,English,My favorite color is red,My favorite color is red,100,Slight accent
C683,4,English,Let?s go outside,Wet?s go outside,96,Slight accent
C684,6,English,My favorite color is red,My favorite color is red,100,Slight accent
C685,6,English,Thank you,Thank you,100,Slight accent
C686,3,English,Can I play now?,Can I pay now,82,Mild background noise
C687,5,English,My favorite color is red,My favorite color is red,100,Slight accent
C688,6,English,Please help me,Please help me,100,Slight accent
C689,5,English,Where is my ball?,Where is my ball?,91,Clear
C690,4,English,I love my cat,I lub my cat,81,Background chatter
C691,4,English,This is my toy car,This is my toy cah,86,Slight accent
C692,5,English,Good morning,Good morning,100,Slight accent
C693,4,English,My favorite color is red,My favwite colow is wed,83,Mild background noise
C694,4,English,Where is my ball?,Where is my bawl?,92,Slight accent
C695,4,English,Please help me,Pwease help me,83,Mild background noise
C696,6,English,Can I play now?,Can I play now?,100,Clear
C697,3,English,Thank you,Tank you,73,Mild background noise
C698,4,English,I love my cat,I lub my cat,98,Slight accent
C699,6,English,This is my toy car,This is my toy car,100,Slight accent
C700,4,English,Can I play now?,Can I pay now,100,Clear
C701,3,English,Let?s go outside,Wet?s go outside,88,Slight accent
C702,4,English,I love my cat,I lub my cat,88,Clear
C703,6,English,Can I play now?,Can I play now?,100,Slight accent
C704,3,English,Please help me,Pwease help me,72,Background chatter
C705,4,English,I want a cookie,I want a cookee,84,Slight accent
C706,3,English,Thank you,Tank you,90,Clear
C707,5,English,Good morning,Good morning,99,Clear
C708,4,English,Thank you,Tank you,94,Slight accent
C709,6,English,Where is my ball?,Where is my ball?,100,Slight accent
C710,3,English,I love my cat,I lub my cat,86,Clear
C711,4,English,I want a cookie,I want a cookee,95,Slight accent
C712,6,English,Where is my ball?,Where is my ball?,100,Slight accent
C713,3,English,Let?s go outside,Wet?s go outside,80,Mild background noise
C714,6,English,My favorite color is red,My favorite color is red,100,Clear
C715,3,English,This is my toy car,This is my toy cah,89,Clear
C716,3,English,Please help me,Pwease help me,80,Slight accent
C717,4,English,This is my toy car,This is my toy cah,88,Slight accent
C718,3,English,Can I play now?,Can I pay now,84,Mild background noise
